id,number_of_bedrooms,number_of_bathrooms,living area,lot area,Price
6762810145,5,2.5,3650,9050,2380000
6762810635,4,2.5,2920,4000,1400000
6762810998,5,2.75,2910,9480,1200000
6762812605,4,2.5,3310,42998,838000
6762812919,3,2,2710,4500,805000
6762813105,3,2.5,2600,4750,790000
6762813157,5,3.25,3660,11995,785000
6762813599,3,1.75,2240,10578,750000
6762813600,3,2.5,2390,6550,750000
6762814461,4,2.25,2200,11250,698000
6762814787,5,2.5,2820,67518,675000
6762815225,4,2,1820,5000,650000
6762815461,4,2,1520,6200,640000
6762815654,4,2.75,2710,37277,630000
6762815737,3,2.25,1750,1572,626000
6762815748,4,2.5,2820,8408,625000
6762815749,4,3.25,2730,54014,625000
6762815986,3,1.75,2360,7291,615000
6762816059,4,2.5,2730,12261,612500
6762816236,3,2.5,3240,33151,604000
6762816633,3,1.75,2330,14892,588500
6762817449,4,2.5,3310,6500,555000
6762817570,4,2.5,1940,10500,550000
6762817571,3,1.75,2910,35200,550000
6762819227,4,2.5,2860,3345,499950
6762819342,4,1.75,1600,6380,495000
6762819448,4,1.75,2190,125452,491500
6762819463,2,1,880,6380,490000
6762819732,4,2.5,2710,35868,482000
6762820114,5,2.5,2210,9655,470000
6762820382,3,1.75,1710,7320,463000
6762820510,3,2.5,2680,5539,459990
6762820718,3,2.5,2430,88426,452500
6762821047,3,2.5,1270,1180,445700
6762821205,4,2.25,2160,8119,440000
6762821206,2,1,800,4850,440000
6762821318,3,2.5,1770,2875,439950
6762821390,3,2.25,1970,35100,437500
6762821424,3,2.5,1770,1235,436110
6762821444,4,1,1450,8800,435000
6762821632,4,1.5,1920,10000,430000
6762822054,3,2.25,2000,8030,420000
6762822175,3,1.5,1570,6700,419000
6762822578,3,2.5,1930,10460,407500
6762822721,3,2,1960,13100,403000
6762822791,4,2.5,3630,42884,400000
6762823455,3,3.25,1320,1327,385000
6762823582,4,1.75,1560,8700,382500
6762824201,4,3,3110,7231,367500
6762824245,3,1,1090,6435,365000
6762825272,3,2,1930,11947,342000
6762825549,2,2,1350,2560,335000
6762825550,3,2.25,1580,16215,335000
6762826461,3,1,1160,9180,315000
6762826606,3,1.5,1340,7912,313000
6762826811,2,1,850,6174,308500
6762827056,3,2.5,2540,5050,300000
6762827347,2,2.5,1630,1368,295000
6762827693,3,3,1850,19966,287200
6762827749,4,2.5,2200,9397,285000
6762827750,3,2.5,2090,10834,285000
6762827836,3,1.75,1800,23103,284000
6762828162,3,1.5,1180,10277,275000
6762828790,4,2,1480,8625,260000
6762828945,3,1.75,1370,5858,257950
6762829578,3,1.5,1200,9720,242500
6762829789,2,1,1210,9400,235000
6762815750,4,2.75,2920,6605,625000
6762817521,2,1,900,5000,553000
6762823736,3,2.5,1650,14054,379880
6762826674,3,1,1010,9945,310000
6762813188,3,2.5,2850,7130,783500
6762813282,2,2.5,2680,7392,775000
6762815716,4,2,2280,6010,628000
6762824246,3,2.5,2200,7350,365000
6762825730,4,2.5,2530,9933,331950
6762810164,7,8,13540,307752,2280000
6762810615,2,2.5,2220,4000,1430000
6762810636,5,3.5,4010,8510,1400000
6762811248,4,2.5,4340,141570,1090000
6762811411,5,2.75,3190,16920,1030000
6762812053,3,1,1330,77972,900000
6762812148,4,4.25,4420,5750,890000
6762812149,5,3.5,4490,6000,890000
6762812331,4,3,3690,9892,865000
6762812415,4,2.75,2600,5390,855000
6762812659,4,3,2170,4000,831000
6762812664,4,2.5,3400,9692,830000
6762812761,6,1.75,2920,5000,823000
6762812961,5,2.5,3180,13806,800866
6762812963,3,2.5,3240,7857,800000
6762813152,3,1.75,1330,7500,787000
6762813210,4,2.5,2730,10281,780000
6762813361,3,2,2350,5700,770000
